correct,asr,error_type,edit_distance,sentence_idx
amlot-at,amlodat,character_substitution,2,0
nusaid-sp,nucides,phonetic_substitution,4,1
,b,character_substitution,1,1
cartigen,cartagan,character_substitution,2,2
nadolol,natilol,character_substitution,2,3
ezofin,ezefin,character_substitution,1,4
becowel,bicaulforte,segmentation_error,8,5
forte,,segmentation_error,5,5
diocid-o,diosido,character_substitution,2,7
calgrow-xt,calgro,phonetic_substitution,4,8
,xt,character_insertion_deletion,2,8
kayzure,kayser,phonetic_substitution,3,9
hyclate,hiclate,character_substitution,1,10
betacyclodextrin,beta-cycloxtrin,phonetic_substitution,3,10
bretylium,brotelium,character_substitution,2,11
tosylate,toxelate,character_substitution,2,11
albendazole,albenduzzle,character_substitution,2,12
bisariv,baisariv,character_substitution,1,13
risedronate,ristronate,character_substitution,2,14
corico-dx,coricodex,character_substitution,2,15
healthcare,health,segmentation_error,4,16
,care,segmentation_error,4,16
zocet,zosat,character_substitution,2,16
cefomet-cv,cefamate's,phonetic_substitution,5,17
,ev,character_insertion_deletion,2,17
cefpodoxime,cefpredoxime,character_substitution,2,17
bio,bioflexic,segmentation_error,6,18
flexic,,segmentation_error,6,18
motocef,matocef,character_substitution,1,19
barhemsys,barham's,phonetic_substitution,3,20
,ease,segmentation_error,4,20
postoperative,post-operative,character_substitution,1,20
methylergonovine,methilogonavine,word_level_error,4,21
troxerutin,troxirut,character_insertion_deletion,3,22
,in,character_insertion_deletion,2,22
tussal,tussle,character_substitution,2,23
vitamra,vitamrasso,character_insertion_deletion,3,24
syr,,character_insertion_deletion,3,24
combihale-ft,come,segmentation_error,8,25
rotacap,by,segmentation_error,7,25
,hail,segmentation_error,4,25
,ft,character_insertion_deletion,2,25
,roticap,segmentation_error,7,25
formoterol,formotrol,character_substitution,1,25
paxidep,paxsida,word_level_error,3,26
dexrabeprazole,dexraiprazole,character_substitution,2,27
ec,eck,character_substitution,1,27
ucefuro,eusefuro,character_substitution,2,28
doxisoft,doxosoft,character_substitution,1,29
commiphora,comifora,character_insertion_deletion,3,30
molmol,malmol,character_substitution,1,30
pizo-dsr,piso-dsr,character_substitution,1,31
