correct,asr,error_type,edit_distance,sentence_idx
cartigen,cartagan,character_substitution,2,2
ezofin,ezefin,character_substitution,1,4
forte,,segmentation_error,5,5
betacyclodextrin,beta-cycloxtrin,phonetic_substitution,3,10
bretylium,brotelium,character_substitution,2,11
bisariv,baisariv,character_substitution,1,13
healthcare,health,segmentation_error,4,16
zocet,zosat,character_substitution,2,16
cefpodoxime,cefpredoxime,character_substitution,2,17
bio,bioflexic,segmentation_error,6,18
flexic,,segmentation_error,6,18
motocef,matocef,character_substitution,1,19
barhemsys,barham's,phonetic_substitution,3,20
tussal,tussle,character_substitution,2,23
vitamra,vitamrasso,character_insertion_deletion,3,24
syr,,character_insertion_deletion,3,24
rotacap,by,segmentation_error,7,25
paxidep,paxsida,word_level_error,3,26
ec,eck,character_substitution,1,27
ucefuro,eusefuro,character_substitution,2,28
commiphora,comifora,character_insertion_deletion,3,30
cognilong,cognelong,character_substitution,1,32
naxcom,nexcom,character_substitution,1,34
junior,jr,segmentation_error,4,35
norelgestromin,nolgistromine,word_level_error,4,36
capiclav,capiclaf,character_substitution,1,41
healthcare,health,segmentation_error,4,43
anaflam,enaflum,character_substitution,2,44
inj,,character_insertion_deletion,3,45
sennoside,senocide,character_substitution,2,47
nodard,noddard,character_substitution,1,49
acent,ascent,character_substitution,1,50
healthcare,health,segmentation_error,4,50
healthcare,health,segmentation_error,4,52
copd,cops,character_substitution,1,53
rotacap,s-roticab,word_level_error,4,53
ardeparin,oedipurine,word_level_error,5,55
moxsav,moxavtab,word_level_error,4,57
tab,,character_insertion_deletion,3,57
susp,extices,word_level_error,7,62
pevesca,paveska,character_substitution,2,63
healthcare,health,segmentation_error,4,64
ondrea,andrea,character_substitution,1,64
aviton,avidin,character_substitution,2,65
syr,sir,character_substitution,1,65
salina,celina,character_substitution,2,68
nbcin,nb-syn,phonetic_substitution,3,69
leucadendron,leucodendron,character_substitution,1,72
carospir,caraspir,character_substitution,1,74
t,,character_substitution,1,76
tagat,taggart,character_insertion_deletion,2,79
abicort,abicote,character_substitution,2,81
syr,swire,character_insertion_deletion,3,84
ketorom,keterom,character_substitution,1,85
cavit,cavitab,character_insertion_deletion,2,87
tab,,character_insertion_deletion,3,87
mecoin,maccoyne,phonetic_substitution,4,88
mouzex,muzex,character_substitution,1,97
twiclox,twiqlox,character_substitution,1,99
healthcare,health,segmentation_error,4,99
ofloxacin,afluxacin,character_substitution,2,100
tabs,t-tabs,character_insertion_deletion,2,100
tamsulosin,tamsulos,character_insertion_deletion,2,101
netilmicin,nettle,segmentation_error,6,107
healthcare,health,segmentation_error,4,107
proage,approach,word_level_error,4,108
clonazepam,clonaise,phonetic_substitution,5,110
cefpodoxime,cefpredox,word_level_error,5,112
tab,catab,character_insertion_deletion,2,112
richneuron,richnorin,phonetic_substitution,3,114
lupizyme,lupizime,character_substitution,1,116
megacet,megas,character_insertion_deletion,3,117
oraflora,orofloragil,phonetic_substitution,4,118
gel,,character_insertion_deletion,3,118
antihaemophilic,antihemophilic,character_substitution,1,119
rahf,roth,word_level_error,3,119
healthcare,health,segmentation_error,4,120
subinaequalis,sub-inequalis,character_substitution,2,123
oint,h-oint,character_insertion_deletion,2,124
losker,lasker,character_substitution,1,125
novolac,novolaxiopi,phonetic_substitution,5,126
cap,,character_insertion_deletion,3,126
alpha,alpha-glycerylphosphoryl,segmentation_error,19,129
fluorodopa,floridopa,character_substitution,2,132
pet,pd,character_substitution,2,132
lipistat,lipostat,character_substitution,1,134
infaser,enfaser,character_substitution,1,137
nitrofix,nitro-fix,character_substitution,1,138
healthcare,health,segmentation_error,4,138
sozirox,sazerox,character_substitution,2,139
nattokinase,natakinase,character_substitution,2,142
avn,avon,character_substitution,1,143
cinaryl,zynoril,word_level_error,4,144
mountrim,mountram,character_substitution,1,145
leukeran,leucerin,character_substitution,2,148
guanadrel,guanidryl,character_substitution,2,152
zobit,zabit,character_substitution,1,153
healthcare,health,segmentation_error,4,154
tarbeen,tarbin,character_substitution,2,156
lisifen,lisiphen,character_substitution,2,160
trilostane,trilastane,character_substitution,1,162
cap,,character_insertion_deletion,3,163
bevon,bevan,character_substitution,1,164
softules,soft,segmentation_error,4,164
orthotar,orthotta,character_substitution,2,166
qtern,q-turn,character_substitution,2,167
mecolife,meccalife,character_substitution,2,168
sertacad,certecad,character_substitution,2,169
mosapride,masopride,character_substitution,2,176
tumors,tumours,character_substitution,1,177
xinomin,cinnamon,word_level_error,4,178
crystodigin,cristidigin,character_substitution,2,179
healthcare,health,segmentation_error,4,183
omnipaque,omnipak,character_insertion_deletion,3,183
healthcare,health,segmentation_error,4,185
valance,valenzone,phonetic_substitution,4,188
meconus,meconis,character_substitution,1,189
kyocet,kyocides,character_insertion_deletion,3,190
