correct,asr,error_type,edit_distance,sentence_idx
amlot-at,amlodat,character_substitution,2,0
nusaid-sp,nucides,phonetic_substitution,4,1
nadolol,natilol,character_substitution,2,3
diocid-o,diosido,character_substitution,2,7
calgrow-xt,calgro,phonetic_substitution,4,8
hyclate,hiclate,character_substitution,1,10
tosylate,toxelate,character_substitution,2,11
albendazole,albenduzzle,character_substitution,2,12
risedronate,ristronate,character_substitution,2,14
corico-dx,coricodex,character_substitution,2,15
cefomet-cv,cefamate's,phonetic_substitution,5,17
methylergonovine,methilogonavine,word_level_error,4,21
combihale-ft,come,segmentation_error,8,25
formoterol,formotrol,character_substitution,1,25
dexrabeprazole,dexraiprazole,character_substitution,2,27
molmol,malmol,character_substitution,1,30
pizo-dsr,piso-dsr,character_substitution,1,31
dolosac-tr,dolisactiar,phonetic_substitution,4,33
dromet-m,dramatem,phonetic_substitution,3,38
maxnerv-pg,maxnerve,character_insertion_deletion,3,39
clonapax-p,clonopax,character_insertion_deletion,3,40
acebrophylline,a,segmentation_error,13,43
cynocal-16,synucle-16-inj,segmentation_error,8,45
halidol,halidor,character_substitution,1,46
well-documented,well,segmentation_error,11,47
etretinate,atretonate,character_substitution,2,48
cintac-d,syntac-d,character_substitution,2,51
optizol-sr,optozoles,phonetic_substitution,3,52
flutidin-s,flutidin,character_insertion_deletion,2,53
subcitrate,substrate,character_substitution,2,54
uv-pain,uv,segmentation_error,5,56
amoxicillin,amexicillin,character_substitution,1,57
nuvolt-g,nuvolt,character_insertion_deletion,2,58
kofol,koffel,character_substitution,2,59
betaxolol,beta-xylol,character_substitution,2,60
starpress-t,starpress,character_insertion_deletion,2,61
extended-release,extended,phonetic_substitution,8,61
altofer-xt,althofer,phonetic_substitution,4,62
hb-clav,hbclav,character_substitution,1,66
ggg-24,jujuju24,word_level_error,6,67
tranat-p,trana,character_insertion_deletion,3,70
dihydroergotamine,dehydrogatamine,word_level_error,4,71
zomep-d,zomab,word_level_error,4,73
belrab-lsr,belrobelisar,phonetic_substitution,4,77
levorphanol,levofenol,word_level_error,4,78
zelita-7,xelita,character_insertion_deletion,3,80
