input_text,target_text
"Looking for relief from irritated eyes, consider trying Ocuwit for soothing comfort.",Looking for relief from irritated eyes? Consider trying OCUWET for soothing comfort.
Koran B is a popular medication used to treat respiratory problems.,CORUN-B is a popular medication used to treat respiratory problems.
Piakon Plus is a popular medication used to manage blood sugar levels in diabetes patients.,PIOCON PLUS is a popular medication used to manage blood sugar levels in diabetes patients.
X-Dyne is an effective medication for treating acid reflux and indigestion.,X-DINE is an effective medication for treating acid reflux and indigestion.
Afluxacin is an antibiotic commonly used to treat bacterial infections.,Ofloxacin is an antibiotic commonly used to treat bacterial infections.
Side effects of Walapandi may include dizziness and upset stomach.,Side effects of Walapan-d may include dizziness and upset stomach.
Phenvol contains a seclofenac and is commonly used to help relieve pain and inflammation.,Fenvolk-P Tab contains aceclofenac and is commonly used to help relieve pain and inflammation.
amoxicillin is the active ingredient in avox tab a medication prescribed to  combat bacterial infections,"""Amoxycillin is the active ingredient in Avux tab  a medication prescribed to combat bacterial infections."""
Menospenem F is commonly prescribed for managing inflammation and pain associated with various conditions.,MENOSPAN-MF is commonly prescribed for managing inflammation and pain associated with various conditions.
Albray's is a prescription medication used to treat high blood pressure.,Obrase is a prescription medication used to treat high blood pressure.
Gynanese is a medication commonly prescribed to treat gynecological conditions.,GYNONYS is a medication commonly prescribed to treat gynecological conditions.
similac total comfort infant is formulated to ease fussiness gas and crying in new-borns,""" Similac Total Comfort Infant is formulated to ease fussiness  gas  and crying in newborns."""
C-Cure is a dietary supplement derived from deep sea whitefish.,Seacure is a dietary supplement derived from deep-sea whitefish.
Patients should always follow their healthcare provider's instructions when taking Ludiumil to ensure its effectiveness.,Patients should always follow their healthcare provider's instructions when taking Ludiomil to ensure its effectiveness.
Make sure to follow your health care provider's instructions carefully when taking Cefazox for optimal results.,Make sure to follow your healthcare provider's instructions carefully when taking CEFIZOX for optimal results.
It is important to follow your healthcare provider's instructions carefully when taking Hiferol.,It is important to follow your healthcare provider's instructions carefully when taking HYPHORAL.
One of the main uses of atropine sulfate denis is to help regulate heart rhythm during surgery.,One of the main uses of ATROPINE SULPHATE (DENIS) is to help regulate heart rhythm during surgery.
Droperdol is commonly used as an anti-medic medication in surgical and anesthesia settings.,Droperidol is commonly used as an antiemetic medication in surgical and anesthesia settings.
It's important to complete the full course of Lazocin CV to ensure the best results in treating your condition.,It's important to complete the full course of LAZOCIN-CV to ensure the best results in treating your condition.
An effective treatment for certain gastrointestinal conditions is anisotropine methyl bromide.,An effective treatment for certain gastrointestinal conditions is anisotropine methylbromide.
Remember to follow the recommended dosage when using Fuxa for your sinus congestion.,Remember to follow the recommended dosage when using FUXUF for your sinus congestion.
"Clover, as is a widely used medication for treating certain medical conditions,",CLOFRE AS is a widely used medication for treating certain medical conditions.
Staddle should be stored in a cool and dry place away from direct sunlight.,Stodil should be stored in a cool and dry place away from direct sunlight.
It is important to take Tamsulos in as directed by your healthcare provider to maximise its effectiveness.,It is important to take tamsulosin as directed by your healthcare provider to maximize its effectiveness.
It's important to follow your doctor's instructions when taking Nuzak for optimal results.,It's important to follow your doctor's instructions when taking NUZAC for optimal results.
Idipride hydrochloride is commonly used to treat gastrointestinal disorders such as gastric  dysmotility.,Itopride hydrochloride is commonly used to treat gastrointestinal disorders such as gastric dysmotility.
Meldyspumatum is known for its effectiveness in treating digestive issues and promoting overall gut health.,Mel despumatum is known for its effectiveness in treating digestive issues and promoting overall gut health.
Speak to your healthcare provider if you experience any side effects while taking MecoABF.,Speak to your healthcare provider if you experience any side effects while taking Meco-ABF.
Zipgo is a widely used medication for treating various cardiovascular conditions.,CYPGO is a widely used medication for treating various cardiovascular conditions.
SELFAST TAB contains a seclofenac which is known for its effectiveness in treating pain and inflammation.,"""Celfast Tab contains aceclofenac  which is known for its effectiveness in treating pain and inflammation."""
Make sure to take your dose of flamina as prescribed by your health care provider for best results.,Make sure to take your dose of FLOMINA as prescribed by your healthcare provider for best results.
Canasso is a popular medication used to treat canine respiratory infections.,CANISS-O is a popular medication used to treat canine respiratory infections.
Have you considered discussing the benefits of Alpha the Ray Q with your healthcare provider?,Have you considered discussing the benefits of ALPHATHER-AQ with your healthcare provider?
Droxflora despertav contains the active ingredient cefidroxil for effective treatment.,Droxflora Dispertab contains the active ingredient cefadroxil for effective treatment.
The dosage of cyclosporine should be carefully monitored to avoid potential side effects.,The dosage of ciclosporin should be carefully monitored to avoid potential side effects.
Renex is a commonly prescribed medication for gastric issues.,Ranix is a commonly prescribed medication for gastric issues.
Reocity is a medication known for its effectiveness in treating respiratory infections.,RIOSITY is a medication known for its effectiveness in treating respiratory infections.
Maximin Forte is often prescribed to address stubborn bacterial conditions.,Maxamin forte is often prescribed to address stubborn bacterial conditions.
Make sure to follow your health care provider's instructions carefully when taking phosphamine for optimal results.,Make sure to follow your healthcare provider's instructions carefully when taking PHOSFOMIN for optimal results.
Flamhil Forte is an effective medication for relieving severe pain and inflammation.,FLAMHEAL FORTE is an effective medication for relieving severe pain and inflammation.
Patients are advised to take TLA each daily as directed by their health care provider.,Patients are advised to take TEL-AH daily as directed by their healthcare provider.
Brufen Jr. is a children's medicine used for pain relief and reducing inflammation.,Brufen Junior is a children's medicine used for pain relief and reducing inflammation.
Hamzol is a commonly prescribed medication for digestive issues.,HAMSYL is a commonly prescribed medication for digestive issues.
Sucrophoric oxyhydroxide is commonly prescribed to treat hyperphosphatemia in patients with chronic kidney disease.,Sucroferric oxyhydroxide is commonly prescribed to treat hyperphosphatemia in patients with chronic kidney disease.
HH sewn ointment can help alleviate itching and inflammation caused by skin conditions when used according to the instructions.,HHSONE ointment can help alleviate itching and inflammation caused by skin conditions when used according to the instructions.
"MaxNerve P, G+, is a powerful supplement designed to support nerve health and overall well-being.",MAXNERV-PG+ is a powerful supplement designed to support nerve health and overall well-being.
Is Dyserol the right choice for your allergy symptoms?,Is DIZERAL the right choice for your allergy symptoms?
Promoquine is commonly used to treat and prevent malaria infections.,Primaquine is commonly used to treat and prevent malaria infections.
Using JALNIC 3% as directed by your healthcare provider can help manage bladder control issues effectively.,Using Gelnique 3% as directed by your healthcare provider can help manage bladder control issues effectively.
Belgist INJ is used to treat conditions related to the gastrointestinal system.,BELGEST INJ is used to treat conditions related to the gastrointestinal system.
Sinicol is a common over-the-counter medication for sinus congestion.,Sinucold is a common over-the-counter medication for sinus congestion.
Perliza is a prescription medication used to treat high blood pressure.,PERLYZA is a prescription medication used to treat high blood pressure.
It's important to follow the prescribed dosage of Nimica to ensure its effectiveness.,It's important to follow the prescribed dosage of NIMIKA to ensure its effectiveness.
Patients are recommended to consult their healthcare provider before starting TZX for proper guidance.,Patients are recommended to consult their healthcare provider before starting TIZAREX for proper guidance.
Cobus bee may cause side effects such as dizziness or drowsiness.,Cobus-p may cause side effects such as dizziness or drowsiness.
Rosulite CV is a common prescription medication.,Rosulite-CV is a common prescription medication.
Ellucine is a prescription medication used to treat insomnia in adults.,ELUCIN is a prescription medication used to treat insomnia in adults.
Viterite 9G is a potent medicine known for its efficacy in treating nutritional deficiencies.,VITORIGHT-9G is a potent medicine known for its efficacy in treating nutritional deficiencies.
The doctor prescribed Erlotas to manage the patient's symptoms effectively.,The doctor prescribed ERLOTAZ to manage the patient's symptoms effectively.
lopressor is a common prescription medication used to treat high blood pressure,Lopresor is a common prescription medication used to treat high blood pressure.
Biclav powder for injection contains amoxicillin trihydrate as its active ingredient.,Beeclav powder for injection contains amoxicillin trihydrate as its active ingredient.
Have you tried Ebastim for your allergy symptoms yet?,Have you tried EBAST-M for your allergy symptoms yet?
Chymalolure should be taken once daily as directed by a health care provider.,Kymolol-er should be taken once daily as directed by a healthcare provider.
nettle miss insulphate should be used exactly as prescribed by your health care provider to ensure effectiveness in treating the infection,Netilmicin sulfate should be used exactly as prescribed by your healthcare provider to ensure effectiveness in treating the infection.
The doctor prescribed cecukinumab to help manage the symptoms of ankylosing spondylitis.,The doctor prescribed secukinumab to help manage the symptoms of ankylosing spondylitis.
The doctor recommended starting a low dose of Doraifnasin to manage the patient's urinary urgency.,The doctor recommended starting a low dose of darifenacin to manage the patient's urinary urgency.
The doctor prescribed iron-dextrin injections to help replenish the patient's iron levels quickly.,The doctor prescribed iron dextran injections to help replenish the patient's iron levels quickly.
"When taking Sevalamer, it is important to follow the instructions provided by your health care provider carefully.","""When taking sevelamer  it is important to follow the instructions provided by your healthcare provider carefully."""
Carpenlizib dihydrochloride is a targeted therapy used in the treatment of certain types of lymphoma.,Copanlisib dihydrochloride is a targeted therapy used in the treatment of certain types of lymphoma.
Rhizochin-DS is an anti-malarial drug often prescribed by health care providers.,RESOCHIN-DS is an antimalarial drug often prescribed by healthcare providers.
Have you consulted your doctor about incorporating Ocidic into your treatment plan?,Have you consulted your doctor about incorporating OSIDEC into your treatment plan?
Glucrida mTAB contains dapagliflozin for managing type 2 diabetes.,Glucreta-M Tab contains dapagliflozin for managing type 2 diabetes.
Hesed tea is a trusted medication for managing high blood pressure.,HEZID-T is a trusted medication for managing high blood pressure.
"Have you heard about Aximov, the latest drug recommended for migraines and headaches?","""Have you heard about AXAMEF  the latest drug recommended for migraines and headaches?"""
Silpandia sal is known for its effectiveness in managing symptoms of acid reflux.,Silpan-dsr is known for its effectiveness in managing symptoms of acid reflux.
Tenlafastar is a medication commonly prescribed to treat respiratory infections in adults.,TENLIFAST-RV is a medication commonly prescribed to treat respiratory infections in adults.
Telser H is prescribed to manage high blood pressure and heart disease.,TELCER-H is prescribed to manage high blood pressure and heart disease.
Make sure to take monsid with food for better absorption and reduce stomach irritation.,Make sure to take MONCID with food for better absorption and reduced stomach irritation.
Rhinocast F is a popular choice for relieving nasal congestion and other allergy symptoms.,RHINOKAST-F is a popular choice for relieving nasal congestion and other allergy symptoms.
"Buda-san, I'd can also be prescribed in pill form to manage Crohn's disease symptoms.",Budesonide can also be prescribed in pill form to manage Crohn's disease symptoms.
Make sure to follow your health care provider's instructions when using Oryx-M for optimal results.,Make sure to follow your healthcare provider's instructions when using Orex-M for optimal results.
Phytolacca dicondra extract is a natural remedy known for its potential in supporting the immune system.,Phytolacca decandra extract is a natural remedy known for its potential in supporting the immune system.
SJL might be the solution to your skin irritation troubles.,S-GEL might be the solution to your skin irritation troubles.
It's important to follow your healthcare provider's instructions when taking PPPA for optimal results.,It's important to follow your healthcare provider's instructions when taking P-PPI for optimal results.
Capesem is a common prescription medication used for anxiety and sleep disorders.,CAPEZAM is a common prescription medication used for anxiety and sleep disorders.
"Autopandiasar is commonly prescribed to treat acid-related disorders such as GERD,",AUTOPAN-DSR is commonly prescribed to treat acid-related disorders such as GERD.
Vinfam is a popular herbal medicine known for its effectiveness in promoting women's health.,VINFEM is a popular herbal medicine known for its effectiveness in promoting women's health.
Biclomthosone dipropionate nasal spray is commonly used to treat symptoms of allergic rhinitis.,Beclomethasone dipropionate nasal spray is commonly used to treat symptoms of allergic rhinitis.
NimSata Gold could be a beneficial option to manage your inflammation effectively.,NIMCETA GOLD could be a beneficial option to manage your inflammation effectively.
Always follow the prescribed dosage of megafloxime for optimal treatment of infections.,Always follow the prescribed dosage of Megaflox-m for optimal treatment of infections.
Incorporating collagen type Roman II into your daily routine may help improve joint mobility and flexibility.,Incorporating Collagen Type II into your daily routine may help improve joint mobility and flexibility.
Ceftivo S is a powerful antibiotic that is commonly prescribed to treat a variety of bacterial infections.,CEFTIVO-S is a powerful antibiotic that is commonly prescribed to treat a variety of bacterial infections.
Efetop is a popular prescription medication used to treat a variety of skin conditions.,EFATOP-PE is a popular prescription medication used to treat a variety of skin conditions.
"Taxotorin is a commonly prescribed medication for treating high blood pressure,",TAXITORIN is a commonly prescribed medication for treating high blood pressure.
It's important to consult your health care provider before starting a regimen with Vosin to avoid any potential side effects.,It's important to consult your healthcare provider before starting a regimen with VOCIN to avoid any potential side effects.
Ixivit-4G is a potent medication for treating severe infections.,Ixovit-4g is a potent medication for treating severe infections.
the medicinal properties of trigonella phonum greekum seed make it a popular herbal remedy in many cultures,The medicinal properties of trigonella foenum-graecum seed make it a popular herbal remedy in many cultures.
